group,independance,T1,lineshape,alpha,beta,,,,
1,1,0,l,2.5,0,,,,
2,2,0,l,2.5,0,,,,
3,3,0,l,2.5,0,,,,
4,3,0,l,2.5,0,,,,
5,3,0,l,2.5,0,,,,
6,4,0,l,2.5,0,,,,
7,2,0,l,2.5,0,,,,
8,4,0,l,2.5,0,,,,
9,4,0,l,2.5,0,,,,
group,symmetry,spin,"chem shift",,,,,,
1,9,0.5,3.232,0,,,,,
group,symmetry,spin,"chem shift",,,,,,
2,1,0.5,3.605,0,,,,,
2,1,0.5,3.672,-14.78,0,,,,
3,1,0.5,3.874,5.77,4.53,0,,,
4,1,0.5,3.842,0,5.77,0,0,,
4,1,0.5,3.917,0,4.53,0,-14.78,0,
5,0,0.5,0,0,0,0,6.03,6.03,0
group,symmetry,spin,"chem shift",,,,,,
6,1,0.5,4.323,0,,,,,
6,1,0.5,4.323,-9.32,0,,,,
7,1,0.5,3.692,3.1,5.9,0,,,
7,1,0.5,3.692,5.9,3.1,-9.32,0,,
8,0,1,0,2.67,2.67,0,0,0,
9,0,0.5,0,6.03,6.03,0,0,0,0
